,Pred_Adult Industry Workers,Pred_Agricultural Workers,Pred_Australian Defence Force Members,Pred_Building And Construction Employees,Pred_Bus Drivers,Pred_Call Centre Operators,Pred_Cleaners,Pred_Community Support Workers And Direct Carers,"Pred_Doctor, Specialist Or Other Medical Professional",Pred_Employee Tradesperson,Pred_Engineers,Pred_Factory Workers,Pred_Fire Fighters,Pred_Fitness And Sporting Industry Employees,Pred_Guards And Security Employees,Pred_Hairdressers And Beauty Professionals,Pred_Hospitality Industry Employees,Pred_It Professionals,Pred_Lawyers,Pred_Meat Workers,Pred_Media Professionals,Pred_Mining Site Employees,Pred_Nurses And Midwives,Pred_Office Workers,Pred_Label_26,Pred_Performing Artists,Pred_Professional Sportsperson,Pred_Retail Industry Workers,Pred_Sales And Marketing,Pred_Teachers And Education Professionals,Pred_Travel Agent Employees,Pred_Truck Drivers
True_Adult Industry Workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
True_Agricultural Workers,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Australian Defence Force Members,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Building And Construction Employees,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Bus Drivers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
True_Call Centre Operators,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
True_Cleaners,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
True_Community Support Workers And Direct Carers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"True_Doctor, Specialist Or Other Medical Professional",0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Employee Tradesperson,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Engineers,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Factory Workers,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Fire Fighters,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
True_Fitness And Sporting Industry Employees,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Guards And Security Employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
True_Hairdressers And Beauty Professionals,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
